rank,strategy_name,params,start_dt,end_dt,initial_equity,final_equity,total_return,total_return_percent,annualized_return_percent,max_drawdown,max_drawdown_percent,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate,profit_factor,total_commission_cost,total_slippage_cost,total_cost,risk_triggered,frozen_during_backtest,frozen_reason,status,error_message
1,DoubleMAStrategy_Opt_1,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 10}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
2,DoubleMAStrategy_Opt_2,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 15}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
3,DoubleMAStrategy_Opt_3,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 20}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
4,DoubleMAStrategy_Opt_4,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 25}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
5,DoubleMAStrategy_Opt_5,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 10}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
6,DoubleMAStrategy_Opt_6,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 15}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
7,DoubleMAStrategy_Opt_8,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 25}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
8,DoubleMAStrategy_Opt_7,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 20}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
9,DoubleMAStrategy_Opt_9,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 10}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
10,DoubleMAStrategy_Opt_10,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 15}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
11,DoubleMAStrategy_Opt_11,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 20}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
12,DoubleMAStrategy_Opt_12,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 25}",2024-01-02,2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,error,"用户权限认证失败 (403,{'error': '用户名或密码错误', 'error_description': '用户名或密码错误, 请重新输入'})"
