rank,strategy_name,params,start_dt,end_dt,initial_equity,final_equity,total_return,total_return_percent,annualized_return_percent,max_drawdown,max_drawdown_percent,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate,profit_factor,total_commission_cost,total_slippage_cost,total_cost,risk_triggered,frozen_during_backtest,frozen_reason,status,error_message
1,DoubleMAStrategy_Opt_1,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 10}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
2,DoubleMAStrategy_Opt_2,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 15}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
3,DoubleMAStrategy_Opt_3,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 20}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
4,DoubleMAStrategy_Opt_4,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 3, ""long_period"": 25}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
5,DoubleMAStrategy_Opt_5,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 10}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
6,DoubleMAStrategy_Opt_6,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 15}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
7,DoubleMAStrategy_Opt_7,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 20}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
8,DoubleMAStrategy_Opt_8,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 5, ""long_period"": 25}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
9,DoubleMAStrategy_Opt_9,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 10}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
10,DoubleMAStrategy_Opt_11,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 20}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
11,DoubleMAStrategy_Opt_10,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 15}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
12,DoubleMAStrategy_Opt_12,"{""contract"": ""SHFE.rb2410"", ""kline_duration"": 60, ""use_ema"": false, ""short_period"": 7, ""long_period"": 25}",2024-01-02,2024-01-15,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,,completed,
